Symbol,Trade Topic,TOB Topic,L2 Topic,Trade Prefix,TOB Prefix,L2 Prefix
HO,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XNYM.HO,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XNYM.HO,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XNYM.HO,trd,tob,l2
HOB,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XNYM.HOB,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XNYM.HOB,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XNYM.HOB,trd,tob,l2
UFB,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCBT.UFB,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCBT.UFB,No Such Topic,trd,tob,l2
MFC,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCBT.MFC,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCBT.MFC,No Such Topic,trd,tob,l2
1H,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XNYM.1H,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XNYM.1H,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XNYM.1H,trd,tob,l2
HOL,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XNYM.HOL,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XNYM.HOL,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XNYM.HOL,trd,tob,l2
1E,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XNYM.1E,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XNYM.1E,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XNYM.1E,trd,tob,l2
HOA,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XNYM.HOA,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XNYM.HOA,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XNYM.HOA,trd,tob,l2
HOT,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XNYM.HOT,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XNYM.HOT,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XNYM.HOT,trd,tob,l2
